ablation_mode,scenario_name,route_name,trials,success_rate,safe_rate,false_high_rate,boundary_missed_rate,low_confidence_rate,out_of_scope_rate,mean_az_error_success,mean_el_error_success,median_runtime_sec,mean_runtime_sec,route_distribution,confidence_distribution
music_only,single_target_sanity,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00997545,0.00993301,low_confidence:1.000,low:1.000
music_only,close_coherent_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0097257,0.00971656166666667,low_confidence:1.000,low:1.000
music_only,medium_beta_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0094208,0.009548195,low_confidence:1.000,low:1.000
music_only,weak_target_boundary,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.009787,0.00996470666666667,low_confidence:1.000,low:1.000
music_only,near_antiphase_boundary,boundary_unreliable,60,0,1,0,0,1,0,NaN,NaN,0.0100272,0.0100050316666667,boundary_unreliable:1.000,low:1.000
music_only,large_el_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0098709,0.01004235,low_confidence:1.000,low:1.000
music_only,two_separated_coarse_peaks,frontend_reject,60,1,1,0,0,1,1,NaN,NaN,0.0001665,0.000170255,frontend_reject:1.000,low:1.000
music_plus_rank1,single_target_sanity,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0094406,0.00965920833333333,low_confidence:1.000,low:1.000
music_plus_rank1,close_coherent_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00959915,0.00966498,low_confidence:1.000,low:1.000
music_plus_rank1,medium_beta_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0095558,0.00988651333333333,low_confidence:1.000,low:1.000
music_plus_rank1,weak_target_boundary,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0097057,0.00979549,low_confidence:1.000,low:1.000
music_plus_rank1,near_antiphase_boundary,boundary_unreliable,60,0,1,0,0,1,0,NaN,NaN,0.01011575,0.0104567066666667,boundary_unreliable:1.000,low:1.000
music_plus_rank1,large_el_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.01001595,0.01020189,low_confidence:1.000,low:1.000
music_plus_rank1,two_separated_coarse_peaks,frontend_reject,60,1,1,0,0,1,1,NaN,NaN,0.00016085,0.000160691666666667,frontend_reject:1.000,low:1.000
music_plus_2d,single_target_sanity,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00983225,0.010039135,low_confidence:1.000,low:1.000
music_plus_2d,close_coherent_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.0092161,0.00923229833333333,low_confidence:1.000,low:1.000
music_plus_2d,medium_beta_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00913045,0.00940672333333333,low_confidence:1.000,low:1.000
music_plus_2d,weak_target_boundary,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00939015,0.00958519833333333,low_confidence:1.000,low:1.000
music_plus_2d,near_antiphase_boundary,boundary_unreliable,60,0,1,0,0,1,0,NaN,NaN,0.0095108,0.00985213666666667,boundary_unreliable:1.000,low:1.000
music_plus_2d,large_el_pair,low_confidence,51,0,1,0,0,1,0,NaN,NaN,0.136306,0.136774776470588,low_confidence:1.000,low:1.000
music_plus_2d,large_el_pair,local_2d_pair_refinement,9,0,0,1,0,0,0,NaN,NaN,0.1335637,0.132560166666667,local_2d_pair_refinement:1.000,medium:1.000
music_plus_2d,two_separated_coarse_peaks,frontend_reject,60,1,1,0,0,1,1,NaN,NaN,0.00015255,0.000154703333333333,frontend_reject:1.000,low:1.000
full_step09,single_target_sanity,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00977855,0.009753315,low_confidence:1.000,low:1.000
full_step09,close_coherent_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00964365,0.009808315,low_confidence:1.000,low:1.000
full_step09,medium_beta_pair,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00962615,0.00979144666666667,low_confidence:1.000,low:1.000
full_step09,weak_target_boundary,low_confidence,60,0,1,0,0,1,0,NaN,NaN,0.00960125,0.00964433666666667,low_confidence:1.000,low:1.000
full_step09,near_antiphase_boundary,boundary_unreliable,60,0,1,0,0,1,0,NaN,NaN,0.00969195,0.00980524666666667,boundary_unreliable:1.000,low:1.000
full_step09,large_el_pair,low_confidence,51,0,1,0,0,1,0,NaN,NaN,0.1379153,0.138772980392157,low_confidence:1.000,low:1.000
full_step09,large_el_pair,local_2d_pair_refinement,9,0,0,1,0,0,0,NaN,NaN,0.1329229,0.133629377777778,local_2d_pair_refinement:1.000,medium:1.000
full_step09,two_separated_coarse_peaks,frontend_reject,60,1,1,0,0,1,1,NaN,NaN,0.00016045,0.000161986666666667,frontend_reject:1.000,low:1.000
full_without_rejector,single_target_sanity,no_rejector_music_candidate,60,1,1,0,0,0,0,0,0,0.0094469,0.0101771016666667,no_rejector_music_candidate:1.000,medium:1.000
full_without_rejector,close_coherent_pair,no_rejector_music_candidate,60,0,0,1,0,0,0,NaN,NaN,0.00935185,0.009417415,no_rejector_music_candidate:1.000,medium:1.000
