trial_id,scenario_name,SNR,mc,quant_mode,double_route,quant_route,double_confidence,quant_confidence,double_success,quant_success,double_az_est,quant_az_est,az_diff,double_el_est,quant_el_est,el_diff,true_az1,true_az2,true_el1,true_el2,frontend_state,coarse_peak_count,in_scope_shared_center_flag,low_confidence_double,boundary_double,ywork_snr_quant_db,steering_rel_err_aligned,score_margin_if_available,peak_margin_if_available,failure_hypothesis
604,medium_beta_pair,8,4,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,0,0,-0.76;-0.34,-0.66;-0.46,0.12,0;0,0;0,0,-0.71875,-0.21875,0,0,single_peak_in_scope,1,1,0,0,152.09737906987,2.74648417956103e-08,NaN,NaN,unknown
681,medium_beta_pair,8,21,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,0,-0.32;0.16,-0.24;0.08,0.0800000000000001,0;0,0;0,0,-0.25,0.25,0,0,single_peak_in_scope,1,1,0,0,152.081853560614,2.74648417956103e-08,NaN,NaN,unknown
136,close_coherent_pair,8,16,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.18;0.18,0.0600000000000001,0;0,0;0,0,-0.131887722466676,0.131887722466676,0,0,single_peak_in_scope,1,1,0,0,151.783883562757,2.74648417956103e-08,NaN,NaN,unknown
21,single_target_sanity,8,21,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.04;0.04,-0.1;0.1,0.0599999999999998,0;0,0;0,0,0,NaN,0,NaN,single_peak_in_scope,1,1,0,0,151.793264646134,2.74648417956103e-08,NaN,NaN,unknown
22,single_target_sanity,8,22,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.06;0.06,0.0599999999999998,0;0,0;0,0,0,NaN,0,NaN,single_peak_in_scope,1,1,0,0,151.76968683856,2.74648417956103e-08,NaN,NaN,unknown
29,single_target_sanity,8,29,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.06;0.06,0.0599999999999998,0;0,0;0,0,0,NaN,0,NaN,single_peak_in_scope,1,1,0,0,151.766192092337,2.74648417956103e-08,NaN,NaN,unknown
307,close_coherent_pair,8,7,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.28;0.28,-0.24;0.24,0.04,0;0,0;0,0,-0.25,0.25,0,0,single_peak_in_scope,1,1,0,0,151.772906602857,2.74648417956103e-08,NaN,NaN,unknown
7,single_target_sanity,8,7,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.08;0.08,0.0399999999999998,0;0,0;0,0,0,NaN,0,NaN,single_peak_in_scope,1,1,0,0,151.77180580272,2.74648417956103e-08,NaN,NaN,unknown
134,close_coherent_pair,8,14,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.14;0.14,0.02,0;0,0;0,0,-0.131887722466676,0.131887722466676,0,0,single_peak_in_scope,1,1,0,0,151.775561050235,2.74648417956103e-08,NaN,NaN,unknown
146,close_coherent_pair,8,26,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.12;0.12,-0.1;0.1,0.02,0;0,0;0,0,-0.131887722466676,0.131887722466676,0,0,single_peak_in_scope,1,1,0,0,151.797313097332,2.74648417956103e-08,NaN,NaN,unknown
163,close_coherent_pair,16,13,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,1,1,-0.16;0.16,-0.18;0.18,0.02,0;0,0;0,0,-0.131887722466676,0.131887722466676,0,0,single_peak_in_scope,1,1,0,0,152.062342372963,2.74648417956103e-08,NaN,NaN,unknown
807,medium_beta_pair,8,27,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,0,0,-1;-0.22,-0.98;-0.24,0.02,0;0,0;0,0,-0.86875,-0.06875,0,0,single_peak_in_scope,1,1,0,0,152.10823346414,2.74648417956103e-08,NaN,NaN,unknown
921,medium_beta_pair,8,21,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,0,0,0.02;0.64,0.04;0.62,0.02,0;0,0;0,0,0.06875,0.86875,0,0,single_peak_in_scope,1,1,0,0,152.103367019233,2.74648417956103e-08,NaN,NaN,unknown
1033,weak_target_boundary,8,13,float32_all,level2_rank1_fallback,level2_rank1_fallback,medium,medium,0,0,-0.54;0.1,-0.56;0.12,0.02,0;0,0;0,0,-0.4,0.4,0,0,single_peak_in_scope,1,1,0,0,151.999886725169,2.74648417956103e-08,NaN,NaN,weak_target_case
